Number of Topics,Gensim MEAN,Gensim STDV,Mallet MEAN,Mallet STDV,Sklearn MEAN,Sklearn STDV
5,0.4520929117049945,0.02420103250388903,0.4437877301229275,0.01233391028718309,0.4533185516904697,0.01912853714484002
10,0.4949132010901319,0.014021202960250934,0.5107077640745343,0.008548109253515493,0.47785937747421997,0.009154685441045012
15,0.5176721010877551,0.018617104808356617,0.5295667731758568,0.007404519556371531,0.49836363210657936,0.01569884912926863
20,0.5198016786205506,0.01999779427290666,0.54951923162006,0.008165143950342464,0.5082572973524099,0.008362773437594156
25,0.5103174507130981,0.018199335480035425,0.5577195484105265,0.00541871698533803,0.505829267991113,0.01577676561939101
30,0.5137540189791365,0.01294135135505225,0.5617689832670388,0.006392737084177391,0.5018263482529156,0.012049228344547597
35,0.5092519455804673,0.012939626600220876,0.5662545999320966,0.004355744031330376,0.49430497164284426,0.010967088872483
40,0.506332803069308,0.013725288771668955,0.5648041493643666,0.005697910701200485,0.4854483776720913,0.00843751188753676
45,0.5050020820558244,0.010856999065518076,0.5650991440129837,0.004669087130177185,0.48084379503630537,0.008586977662137694
50,0.49647789765817624,0.008967183660197187,0.5636677897399206,0.005906354622841224,0.4851400153458142,0.013199453155730146
55,0.4902208794896776,0.010487436402833658,0.5631527086915867,0.002970167155899703,0.4855191501065358,0.011785495177312501
60,0.48664955142090166,0.010077262119759149,0.5573853942133761,0.006476417761994278,0.480158703454382,0.011730859418751037
65,0.483597048285382,0.010530759480896216,0.5577177200079201,0.005319141054685419,0.4890357651588009,0.008912292567412836
70,0.47796877066909277,0.01119444837393579,0.5577908893884828,0.005820501240701928,0.48291471215211756,0.012614320663514087
75,0.47528104949239897,0.011747280866653819,0.55606926616456,0.005110081910456751,0.49001323795028023,0.008020376395562292
80,0.4766101278079905,0.006975303293632868,0.550972683912271,0.0036732836787718172,0.4867399591907047,0.008795207057476169
85,0.47477670451148696,0.007868132119968608,0.5508462621921784,0.004991117972086258,0.48828438976741423,0.008338348572331553
90,0.4729401312900098,0.010512246772741127,0.552186846602856,0.004809025860568155,0.49316012278648474,0.006869318199511862
95,0.4709937102772136,0.010704875310685232,0.546140500643144,0.0037785879114383388,0.49173518991511733,0.009669262289378183
100,0.4694390101126775,0.007785121244700651,0.5466941777688694,0.00463502407385279,0.4956708834652913,0.004346410431622821
