Topic #,Suggestive Topic Name
1,Statistical Modeling and Prediction
2,Trauma Imaging
3,Statistics: Measurement and Agreement
4,Case Presentation and Diagnosis
5,Chest Pain
6,Clinical Trial
7,Trauma Severity and Outcomes
8,Wound Care
9,Toxicology
10,Intubation and Airway Management
11,Literature review and publication
12,Pediatrics
13,Laboratory tests
14,Vitals
15,Temperature management
16,Motor vehicle collision related injury
17,Public Health and Disaster Medicine
18,Healthcare utilization
19,CPR
20,Ultrasound
21,Sedation
22,Chart review and Electronic Medical Records
23,CT imaging
24,Risk factor anaylsis
25,IV placement
26,Disposition
27,Medical Education Assessment and Simulation
28,Intracranial hemorrhage and stroke
29,Pain and Pain Treatment
30,Sepsis
31,Residency Training
32,Operational Metrics
33,Academic Research
34,Cardiac Arrest
35,Survey Methodology
36,Prehospital Care
37,Mental Health and Substance Abuse
38,Lab Research and Basic Science
39,Treatment
40,Infection
