seed,t40a5o0i1000,t40a5o100i1000,t40a5o200i1000,t40a10o0i1000,t40a10o100i1000,t40a10o200i1000,t40a25o0i1000,t40a25o100i1000,t40a25o200i1000,t40a50o0i1000,t40a50o100i1000,t40a50o200i1000
519073434,0.5624886356569874,0.5713727261085646,0.5696684656203113,0.5821114430471294,0.5896533377222388,0.5907970190518522,0.5749555672823712,0.5818725066321888,0.5849417230610395,0.5644865483829179,0.5636192184537991,0.567807052136229
519289878,0.5519729680380252,0.5569194559838035,0.5574278295540006,0.5628046986715662,0.5735607058919547,0.56398675500861,0.5782323493916419,0.5785422018388189,0.5801949600275508,0.5607187335664128,0.5686818955333047,0.5715851878614221
519511568,0.574771285951872,0.5791189065240749,0.5760048866859817,0.5745931727674218,0.5918347338115024,0.5870039288088147,0.5730283780403578,0.5729299296082289,0.5803416592847428,0.5702843263933073,0.5831517603700384,0.5779707078495454
519734591,0.5797814797733807,0.575633044332096,0.5804246503188816,0.5767877788167531,0.5856903772253766,0.5868115041087844,0.5719315956415503,0.5789529238886969,0.5850370089072828,0.5577913442449953,0.5750372110007528,0.570320500716251
519955813,0.581447950984964,0.5876024390087681,0.5868950344361145,0.5756999158793417,0.575271526380093,0.5788906090784053,0.5755170446213828,0.5852875845157506,0.5923825015402894,0.5658824943351032,0.5787466201375301,0.5816233306437939
520180175,0.5785388360486028,0.5766436056695717,0.5791785842385321,0.5713754075458783,0.5804258698668846,0.5850737633545199,0.566631290022614,0.5790052177584982,0.5784075762162089,0.554133124888701,0.5606431726657104,0.566184108377733
520403903,0.5854376627792105,0.5876661852144125,0.5904980866468634,0.5765523795116975,0.5813293440475328,0.5822174782583251,0.5774297196261255,0.5787155933904112,0.5872434393675399,0.5592253855462317,0.585191483464266,0.5773656661290338
520623558,0.5878507537056541,0.5924754005891819,0.5957127183092823,0.5636512081397352,0.5682961434739342,0.5705835008120307,0.5838665591053446,0.5903315270297945,0.5900470724393214,0.5703959884453352,0.5857553001426121,0.5849277776127954
520849015,0.5735038823667739,0.5665277832944089,0.5698061792511417,0.5728882564056361,0.5690212830184599,0.5725866989589173,0.5823623847568894,0.5839341707671099,0.5925763125820913,0.5606119086037793,0.5642561060087168,0.5662590266802219
521071385,0.5797493304123028,0.5790746320296598,0.5811310685453535,0.5723381300100598,0.5791883192229681,0.5741546850494733,0.5760512082234054,0.5825399276376577,0.5803470702488489,0.5664454125450284,0.5783356514719389,0.5733276632423479
521290848,0.5726698907579338,0.5765964749192648,0.5769322407412025,0.5776702607546114,0.5840029414293297,0.5821417640981388,0.5667460381871549,0.5701478974259601,0.5732028212641348,0.5735589043618056,0.5765549220638037,0.5864807398091296
521510973,0.569258016049314,0.5693689318958374,0.5703133801821926,0.5813883106955825,0.5906818366762574,0.5915407586416865,0.5826757730600742,0.5869051467019594,0.5882769367821465,0.5715703288564209,0.577916875116782,0.5838354577502146
521732824,0.5751137405686277,0.5773639338608081,0.5769113161979463,0.5910918633545142,0.5874680645171825,0.5916824087425117,0.5819777966185742,0.5837083566050043,0.5913573916411006,0.549328416568524,0.5670304767585,0.5573778876463058
521953161,0.5825960838103764,0.5863559792780407,0.5914500618264285,0.5774417664269587,0.5760453371326708,0.579739893250987,0.5736435579503886,0.5806933136684034,0.5852788161585535,0.5749716753204449,0.5878747889595418,0.5843947151976207
522172216,0.5807919002168505,0.5839375507369909,0.5865581743654136,0.5779512976906294,0.5818512257027015,0.5862296871028599,0.5772336870010626,0.5765375144858436,0.5824993530365277,0.5587365880105283,0.569902514943567,0.5641814261444271
522393659,0.5645040217378723,0.568213745048392,0.5713267318815992,0.5745225371364289,0.5788396978090878,0.5786027862701615,0.5768786378830859,0.5765860389038175,0.58087987117656,0.5698581579373616,0.5730065515586149,0.5724591628626715
522617549,0.577232366657823,0.5836665796321494,0.5773308182410881,0.5753324688349587,0.5796944917667191,0.5806001392633257,0.5789116345806221,0.5812127063502406,0.589307954392703,0.5610269729893028,0.5780075962815043,0.5716187575635335
522839375,0.5788534835992254,0.5806986230974583,0.5835395733903559,0.5876466727525471,0.5908644601971842,0.5929361125387229,0.5696148014997677,0.5782838315387895,0.5755873636802713,0.572328103392238,0.5876553517430546,0.58503987911075
523065977,0.5778328199046534,0.5780408534797276,0.5801749040147882,0.5765276594047444,0.5770469078441904,0.577322311543481,0.5696105239281457,0.5863370525824037,0.5823731966461054,0.5555064910217259,0.5879092600492657,0.575169594349255
523285396,0.5760827058928519,0.5770156372296629,0.5756018284501841,0.5879676531730671,0.583793511615251,0.5822859733481127,0.5673048178905196,0.5781729505123675,0.577817995898534,0.5687615053813937,0.5880387412267022,0.5834087738710114
